Date Open High Low Close Volume Adjusted DeltaVolPerc DeltaVolElder OBV VolSize RSI14 RSI14L1 RSI14L2 DeltaRSI14 DeltaRSI14L2 DiffRSI14L1 DiffRSI14L2 MA10 DeltaMA10 MA10L1 MA20 DeltaMA20 DeltaMA20M10 MACD Signal DeltaMACD DeltaSignal GapUp GapDown ReturnL1 ReturnL2 Return Decision
2007-01-03 3.081786 3.092143 2.925 2.992857 1238319600 2.569716 NA medium 12383.196 high NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Up
2007-01-04 3.001786 3.069643 2.993571 3.059286 847260400 2.626753 -0.315798280185503 medium 20855.8 medium NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE FALSE NA NA 0.0221958483148377 Down
2007-01-05 3.063214 3.078571 3.014286 3.0375 834741600 2.608047 -0.01477562270112 medium 12508.384 medium NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE FALSE 0.0221958483148377 NA -0.00712126947268091 Up
2007-01-08 3.07 3.090357 3.045714 3.0525 797106800 2.620926 -0.0450855689952436 medium 20479.452 medium NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE FALSE -0.00712126947268091 0.0221958483148377 0.00493827160493831 Up
2007-01-09 3.0875 3.320714 3.041071 3.306071 3349298400 2.838647 3.20181887797219 medium 53972.436 high NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE FALSE 0.00493827160493831 -0.00712126947268091 0.0830699426699427 Up
2007-01-10 3.383929 3.492857 3.3375 3.464286 2952880000 2.974493 -0.118358638931664 medium 83501.236 high NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE FALSE 0.0830699426699427 0.00493827160493831 0.0478558990414906 Down
2007-01-11 3.426429 3.456429 3.396429 3.421429 1440252800 2.937695 -0.512254883368102 medium 69098.708 high NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE FALSE 0.0478558990414906 0.0830699426699427 -0.012371091763209 Down
2007-01-12 3.378214 3.395 3.329643 3.379286 1312690400 2.90151 -0.0885694511407997 medium 55971.804 high NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE TRUE -0.012371091763209 0.0478558990414906 -0.0123173679769476 Up
2007-01-16 3.417143 3.473214 3.408929 3.467857 1244076400 2.977559 -0.0522697507348267 medium 68412.568 high NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE FALSE -0.0123173679769476 -0.012371091763209 0.0262099745330818 Down
2007-01-17 3.484286 3.485714 3.386429 3.391071 1646260000 2.911628 0.323278859722763 medium 51949.968 high NA NA NA NA NA NA NA 3.2572143 NA NA NA NA NA NA NA NA NA FALSE FALSE 0.0262099745330818 -0.0123173679769476 -0.0221422048256314 Down
