Date Open High Low Close Volume Adjusted DeltaVolPerc DeltaVolElder OBV VolSize RSI14 RSI14L1 RSI14L2 DeltaRSI14 DeltaRSI14L2 DiffRSI14L1 DiffRSI14L2 MA10 DeltaMA10 MA10L1 MA20 DeltaMA20 DeltaMA20M10 MACD Signal DeltaMACD DeltaSignal GapUp GapDown ReturnL1 ReturnL2 Return Decision
2010-06-29 3.8 5 3.508 4.778 93831500 4.778 NA medium 938.315 high NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Down
2010-06-30 5.158 6.084 4.66 4.766 85935500 4.766 -0.0841508448655302 medium 78.96 medium NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE FALSE NA NA -0.00251151109250723 Down
2010-07-01 5 5.184 4.054 4.392 41094000 4.392 -0.521804143805529 medium -331.98 medium NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE FALSE -0.00251151109250723 NA -0.078472513638271 Down
2010-07-02 4.6 4.62 3.742 3.84 25699000 3.84 -0.374628899596048 medium -588.97 medium NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE FALSE -0.078472513638271 -0.00251151109250723 -0.12568306010929 Down
2010-07-06 4 4 3.166 3.222 34334500 3.222 0.336024748044671 medium -932.315 medium NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE FALSE -0.12568306010929 -0.078472513638271 -0.1609375 Down
2010-07-07 3.28 3.326 2.996 3.16 34608500 3.16 0.00798031134864349 medium -1278.4 medium NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE FALSE -0.1609375 -0.12568306010929 -0.0192427063935443 Up
2010-07-08 3.228 3.504 3.114 3.492 38557000 3.492 0.114090469104411 medium -892.83 medium NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE FALSE -0.0192427063935443 -0.1609375 0.10506329113924 Down
2010-07-09 3.516 3.58 3.31 3.48 20253000 3.48 -0.474725730736312 medium -1095.36 medium NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE FALSE 0.10506329113924 -0.0192427063935443 -0.00343642611683849 Down
2010-07-12 3.59 3.614 3.4 3.41 11012500 3.41 -0.456253394558831 medium -1205.485 low NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA FALSE FALSE -0.00343642611683849 0.10506329113924 -0.0201149425287356 Up
2010-07-13 3.478 3.728 3.38 3.628 13400500 3.628 0.216844494892168 medium -1071.48 low NA NA NA NA NA NA NA 3.8168 NA NA NA NA NA NA NA NA NA FALSE FALSE -0.0201149425287356 -0.00343642611683849 0.0639296187683284 Up
2010-07-14 3.588 4.03 3.552 3.968 20976000 3.968 0.565314727062423 low -861.72 medium NA NA NA NA NA NA NA 3.7358 -0.0212219660448542 3.8168 NA NA NA NA NA NA NA FALSE FALSE 0.0639296187683284 -0.0201149425287356 0.093715545755237 Up
2010-07-15 3.988 4.3 3.8 3.978 18699000 3.978 -0.108552631578947 low -674.73 medium NA NA NA NA NA NA NA 3.657 -0.0210932062744258 3.7358 NA NA NA NA NA NA NA TRUE FALSE 0.093715545755237 0.0639296187683284 0.00252016129032264 Up
2010-07-16 4.14 4.26 4.01 4.128 13106500 4.128 -0.299080164714691 low -543.665 low NA NA NA NA NA NA NA 3.6306 -0.0072190319934373 3.657 NA NA NA NA NA NA NA TRUE FALSE 0.00252016129032264 0.093715545755237 0.0377073906485671 Up
2010-07-19 4.274 4.45 4.184 4.382 12432500 4.382 -0.0514248655247396 low -419.34 low NA NA NA NA NA NA NA 3.6848 0.0149286619291578 3.6306 NA NA NA NA NA NA NA TRUE FALSE 0.0377073906485671 0.00252016129032264 0.0615310077519379 Down
2010-07-20 4.37 4.37 4.01 4.06 9126500 4.06 -0.265915946108989 low -510.605 low 39.2062537582682 NA NA NA NA NA NA 3.7686 0.0227420755536257 3.6848 NA NA NA NA NA NA NA FALSE FALSE 0.0615310077519379 0.0377073906485671 -0.073482428115016 Down
2010-07-21 4.132 4.18 3.9 4.044 6262500 4.044 -0.313811428258368 low -573.23 low 39.0041875661497 39.2062537582682 NA -0.00515392756891062 NA -0.202066192118444 NA 3.857 0.0234569866794033 3.7686 NA NA NA NA NA NA NA FALSE FALSE -0.073482428115016 0.0615310077519379 -0.00394088669950739 Up
